popularity,duration_ms,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,201352,2017-09-22,0.355,0.761,9,-7.237,1,0.0638,0.00208,0.00288,0.124,0.492,109.894
0,205000,2014-03-25,0.464,0.9,1,-6.041,0,0.0484,0.0947,0.000118,0.0596,0.54,215.753
0,190481,2012-12-12,0.648,0.437,6,-9.837,1,0.0323,0.109,0.000161,0.0894,0.457,113.994
0,216707,2015-12-07,0.422,0.713,0,-5.474,1,0.0502,0.425,0.0201,0.072,0.722,120.04
0,176147,2016-06-24,0.464,0.912,6,-5.267,1,0.0392,0.00012,0.00439,0.0235,0.451,96.018
0,204920,2016-06-24,0.376,0.856,7,-4.912,1,0.0447,0.00063,0.0834,0.446,0.635,157.943
0,280681,2017-04-20,0.342,0.388,2,-11.372,1,0.0543,0.143,0.00435,0.0913,0.107,177.848
0,329500,2016-05-11,0.42,0.696,4,-10.966,0,0.0769,0.284,0.00512,0.287,0.634,94.312
0,240130,2016-12-16,0.335,0.139,2,-16.526,1,0.0344,0.875,0.000288,0.115,0.184,110.724
0,73710,2017-01-01,0.312,0.882,9,-6.806,0,0.162,0.0166,0.0,0.147,0.508,130.496
0,194374,2017-11-24,0.816,0.417,1,-11.6,1,0.137,0.517,0.0,0.212,0.432,99.921
0,221000,2020-02-01,0.55,0.749,7,-7.459,1,0.126,0.4,0.00431,0.129,0.223,77.554
0,289776,2017-05-06,0.728,0.59,6,-8.041,0,0.0489,0.0177,0.00532,0.186,0.73,143.973
0,150309,2017-09-22,0.586,0.315,10,-15.519,1,0.0528,0.235,0.014,0.16,0.294,130.024
0,146207,2016-02-05,0.939,0.396,11,-9.589,1,0.368,0.136,1.31e-06,0.0861,0.102,124.964
0,144039,2020-04-28,0.668,0.584,9,-4.889,1,0.027,0.788,0.00254,0.0994,0.55,100.563
0,128120,2020-04-24,0.372,0.967,0,-2.694,1,0.106,0.000413,0.0,0.496,0.456,111.444
0,200914,2013-10-09,0.559,0.899,11,-3.729,1,0.0316,0.00288,7.64e-05,0.11,0.563,105.491
0,209286,2019-07-19,0.502,0.711,4,-8.027,0,0.0334,0.0101,0.000965,0.632,0.367,126.017
0,222960,2014-05-30,0.491,0.988,1,-2.71,0,0.17,0.00392,0.00222,0.228,0.255,107.481
0,173933,2020-12-25,0.515,0.895,4,-6.263,1,0.0818,0.052,0.00074,0.0935,0.227,97.569
0,208298,2018-12-14,0.458,0.928,10,-3.399,0,0.0668,0.00503,1.09e-05,0.274,0.289,128.004
0,181520,2020-06-19,0.541,0.658,2,-7.682,1,0.0384,0.000558,6.21e-05,0.423,0.809,142.082
