popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
100,198082,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03
98,132780,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996
97,215627,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051
96,242096,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088
96,200040,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
95,164000,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031
94,198371,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087
94,169153,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98
92,170813,0.658,0.634,1,-5.797,0,0.0413,0.0106,0.0,0.132,0.29,139.98
92,116750,0.722,0.893,0,-3.255,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932
91,166028,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953
91,178154,0.781,0.594,0,-6.959,0,0.0485,0.0136,0.0,0.162,0.0628,129.895
91,160000,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995
90,227395,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048
90,155884,0.84,0.766,4,-4.12,1,0.136,0.00302,3.61e-06,0.0684,0.402,94.018
90,174760,0.614,0.934,9,-3.709,0,0.07,0.0697,0.0,0.121,0.436,116.001
90,240400,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053
90,174321,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009
90,203064,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977
89,192956,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006
89,173333,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026
89,207481,0.566,0.716,1,-5.733,1,0.0424,0.00691,0.0,0.37,0.45,81.068
89,190476,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971
