popularity,duration_ms,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
54,161040,2017-12-08,0.614,0.867,2,-3.484,1,0.114,0.0231,0.0,0.0821,0.775,148.885
3,229973,2012,0.404,0.651,11,-7.229,1,0.0295,0.195,0.0,0.208,0.634,173.804
74,200838,2020-04-16,0.501,0.674,5,-6.363,1,0.0408,0.00346,3.56e-05,0.282,0.152,155.051
65,221801,2017-12-08,0.586,0.732,8,-6.171,1,0.0279,0.176,0.0,0.148,0.582,150.109
53,218000,2012-11-16,0.595,0.51,4,-9.489,1,0.0378,0.0453,0.000154,0.105,0.355,141.977
48,378400,2015-05-26,0.479,0.458,0,-10.139,1,0.0299,0.0521,0.067,0.0864,0.154,126.989
47,259987,2015-10-30,0.59,0.512,3,-10.785,1,0.208,0.837,0.0,0.107,0.574,95.206
37,413334,2014,0.38,0.972,11,-4.793,1,0.138,0.0227,0.000175,0.776,0.279,168.032
32,228653,2010-07-11,0.443,0.294,9,-9.263,1,0.0323,0.886,0.0,0.532,0.107,84.716
57,222880,2013-09-27,0.542,0.869,2,-4.429,1,0.135,5.21e-05,0.000222,0.115,0.592,130.021
1,240867,2018-06-12,0.569,0.418,0,-10.556,1,0.377,0.0442,2.67e-06,0.452,0.555,96.14
34,198827,2010-11-01,0.603,0.836,2,-3.791,0,0.0679,0.0198,0.0,0.102,0.805,92.975
10,235620,2018-12-14,0.569,0.949,7,-5.613,0,0.0379,0.00237,0.0988,0.393,0.112,130.036
45,191160,2011-01-01,0.69,0.305,7,-11.169,0,0.0361,0.844,0.00388,0.168,0.353,114.79
60,198460,2018-03-23,0.658,0.682,6,-4.31,1,0.0311,0.221,0.0,0.236,0.541,100.989
0,236099,2016-11-11,0.734,0.713,5,-7.721,1,0.129,0.00581,0.000312,0.225,0.676,113.024
35,168587,2011-07-15,0.647,0.447,4,-9.886,1,0.0302,0.667,0.0859,0.107,0.662,90.013
55,197493,2011-04-26,0.605,0.651,0,-5.672,1,0.0234,0.0161,0.000294,0.188,0.61,89.991
53,217665,2018-06-08,0.357,0.174,10,-12.977,1,0.0334,0.968,5.52e-05,0.115,0.145,131.497
59,207440,2014-10-27,0.653,0.893,0,-5.966,1,0.0538,0.0158,4.95e-05,0.102,0.513,118.035
69,179908,2019-05-17,0.708,0.339,9,-7.085,1,0.0409,0.834,0.0,0.128,0.512,117.995
76,235545,2018-05-30,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959
6,235238,2020-01-31,0.568,0.502,6,-12.415,1,0.035,0.209,0.00476,0.691,0.357,140.053
62,185779,2012-03-23,0.48,0.64,6,-6.153,1,0.323,0.158,0.0,0.109,0.475,87.327
66,233750,2018-11-30,0.734,0.493,0,-7.528,1,0.308,0.0467,0.0,0.0477,0.562,86.043
