epoch,step,train_loss_epoch,train_loss_step,train_mse_epoch,train_mse_step,val_loss_epoch,val_loss_step,val_mse_epoch,val_mse_step
,0,,,,,,7.9368205070495605,,7.9368205070495605
,1,,,,,,7.725690841674805,,7.725690841674805
,2,,,,,,7.782405853271484,,7.782405853271484
,3,,,,,,7.827615737915039,,7.827615737915039
,4,,,,,,7.604365348815918,,7.604365348815918
0,18,,,,,7.791139125823975,,7.791139125823975,
0,18,5204.29443359375,,5204.29443359375,,,,,
,5,,,,,,17.419513702392578,,17.419513702392578
,6,,,,,,17.078777313232422,,17.078777313232422
,7,,,,,,17.14535140991211,,17.14535140991211
,8,,,,,,17.216049194335938,,17.216049194335938
,9,,,,,,16.867036819458008,,16.867034912109375
1,37,,,,,17.17099380493164,,17.170991897583008,
1,37,562.6401977539062,,562.6401977539062,,,,,
2,49,,15.12552261352539,,15.12552261352539,,,,
,10,,,,,,43.701393127441406,,43.701393127441406
,11,,,,,,44.181190490722656,,44.181190490722656
,12,,,,,,44.12041473388672,,44.12041473388672
,13,,,,,,43.99372100830078,,43.99372100830078
,14,,,,,,44.51451873779297,,44.5145149230957
2,56,,,,,44.06425476074219,,44.06425476074219,
2,56,93.90865325927734,,93.90865325927734,,,,,
,15,,,,,,1.482073187828064,,1.482073187828064
,16,,,,,,1.5531045198440552,,1.5531045198440552
,17,,,,,,1.5516045093536377,,1.5516045093536377
,18,,,,,,1.5293068885803223,,1.5293068885803223
,19,,,,,,1.618913173675537,,1.618913173675537
3,75,,,,,1.540373682975769,,1.540373682975769,
3,75,24.689685821533203,,24.689685821533203,,,,,
,20,,,,,,0.24309132993221283,,0.24309132993221283
,21,,,,,,0.2549738883972168,,0.2549738883972168
,22,,,,,,0.2614562511444092,,0.2614562511444092
,23,,,,,,0.2521687150001526,,0.2521687150001526
,24,,,,,,0.2801071107387543,,0.2801071107387543
4,94,,,,,0.2563553750514984,,0.2563553750514984,
4,94,17.00960350036621,,17.00960350036621,,,,,
5,99,,19.991912841796875,,19.991912841796875,,,,
,25,,,,,,0.7344566583633423,,0.7344566583633423
,26,,,,,,0.6558270454406738,,0.6558270454406738
,27,,,,,,0.6788797378540039,,0.6788797378540039
,28,,,,,,0.6915724277496338,,0.6915724277496338
,29,,,,,,0.6241531372070312,,0.6241531372070312
5,113,,,,,0.6818456053733826,,0.6818456053733826,
5,113,15.71133041381836,,15.71133041381836,,,,,
,30,,,,,,0.058612365275621414,,0.058612365275621414
,31,,,,,,0.03536880016326904,,0.03536880016326904
,32,,,,,,0.046883054077625275,,0.046883054077625275
,33,,,,,,0.04665633291006088,,0.04665633291006088
,34,,,,,,0.03613246604800224,,0.03613246604800224
6,132,,,,,0.04552292451262474,,0.04552292451262474,
6,132,16.285215377807617,,16.285215377807617,,,,,
7,149,,18.586841583251953,,18.586841583251953,,,,
,35,,,,,,0.0860617607831955,,0.0860617607831955
,36,,,,,,0.05605336278676987,,0.05605336278676987
,37,,,,,,0.06913234293460846,,0.06913234293460846
,38,,,,,,0.07033638656139374,,0.07033638656139374
,39,,,,,,0.05090111866593361,,0.05090111494064331
7,151,,,,,0.06793415546417236,,0.06793415546417236,
7,151,15.329401969909668,,15.329401969909668,,,,,
,40,,,,,,2.186305522918701,,2.186305522918701
,41,,,,,,2.070554256439209,,2.070554256439209
,42,,,,,,2.101719379425049,,2.101719379425049
,43,,,,,,2.1227760314941406,,2.1227760314941406
,44,,,,,,2.012925148010254,,2.012924909591675
8,170,,,,,2.1067745685577393,,2.1067745685577393,
8,170,15.87453842163086,,15.87453842163086,,,,,
,45,,,,,,0.26177293062210083,,0.26177293062210083
,46,,,,,,0.21693968772888184,,0.21693968772888184
,47,,,,,,0.2333185076713562,,0.2333185076713562
,48,,,,,,0.23880797624588013,,0.23880797624588013
,49,,,,,,0.1977759301662445,,0.1977759301662445
9,189,,,,,0.23266692459583282,,0.23266692459583282,
9,189,16.388553619384766,,16.388553619384766,,,,,
