reshares,likes,created_at
,,2021-01-28T00:10:27Z
,"{'total': 1, 'user_ids': [3317234]}",2021-02-25T20:40:26Z
,"{'total': 5, 'user_ids': [4848380, 4512527, 4575359, 4403442, 3216649]}",2021-02-04T15:54:47Z
,"{'total': 10, 'user_ids': [4464016, 4099992, 3484573, 4457178, 3975548, 648103, 4495662, 3191178, 3779945, 3776054]}",2021-01-03T20:14:46Z
,"{'total': 7, 'user_ids': [3410960, 4753823, 3466037, 4260452, 1243494, 792733, 4201998]}",2021-01-31T05:12:19Z
,"{'total': 2, 'user_ids': [4495662, 3406966]}",2021-01-08T20:39:38Z
,,2021-02-05T15:12:00Z
,,2021-02-21T02:53:34Z
,"{'total': 3, 'user_ids': [336046, 911299, 2960381]}",2021-01-26T21:55:35Z
,"{'total': 1, 'user_ids': [4648618]}",2021-01-29T16:27:44Z
,,2021-01-25T17:00:27Z
,"{'total': 6, 'user_ids': [4308535, 3676715, 4246388, 4362760, 4068720, 4112001]}",2021-01-13T17:28:54Z
,,2021-01-28T18:51:00Z
,,2021-01-26T19:47:47Z
,"{'total': 4, 'user_ids': [3332490, 3514213, 3879445, 676615]}",2021-02-04T21:00:24Z
,"{'total': 2, 'user_ids': [4879692, 3425502]}",2021-02-14T20:32:02Z
,"{'total': 1, 'user_ids': [1535060]}",2021-01-27T12:28:00Z
,"{'total': 23, 'user_ids': [2923223, 4668055, 895322, 3208445, 4383919, 4704274, 4323109, 4627420, 4667553, 3258117, 4589177, 4487229, 4431033, 4501502, 4605404, 4294481, 4212351, 4496507, 4236403, 4386196, 4688577, 3384622, 4053203]}",2021-01-28T00:07:47Z
,"{'total': 1, 'user_ids': [4762690]}",2021-01-30T01:36:48Z
,"{'total': 10, 'user_ids': [1215786, 4425834, 3516377, 4374679, 3783551, 3900486, 5073531, 4424307, 3377949, 4487410]}",2021-02-18T22:43:03Z
,"{'total': 1, 'user_ids': [1410887]}",2021-02-12T14:36:26Z
,"{'total': 3, 'user_ids': [2902618, 3144184, 4014045]}",2021-01-27T10:32:12Z
,,2021-01-27T00:44:22Z
,"{'total': 4, 'user_ids': [4530827, 3325553, 4523393, 4512527]}",2021-02-01T14:53:05Z
"{'reshared_count': 1, 'user_ids': [5050412]}","{'total': 2, 'user_ids': [5050412, 4637669]}",2021-02-25T21:12:54Z
,"{'total': 2, 'user_ids': [4463720, 2867627]}",2021-02-25T14:45:29Z
,"{'total': 5, 'user_ids': [3684468, 3649373, 4675327, 1872377, 4526407]}",2021-02-02T05:05:56Z
,,2021-01-25T15:32:16Z
,,2021-01-26T18:46:44Z
,,2021-01-22T17:40:44Z
,"{'total': 3, 'user_ids': [4744460, 4424594, 3628263]}",2021-01-28T18:42:26Z
,"{'total': 1, 'user_ids': [1437296]}",2021-01-21T19:30:27Z
,"{'total': 2, 'user_ids': [4231350, 1467364]}",2021-01-26T21:33:12Z
,"{'total': 1, 'user_ids': [3734363]}",2021-01-20T14:32:35Z
,"{'total': 2, 'user_ids': [199592, 4376901]}",2021-02-05T03:10:54Z
,,2021-02-25T00:11:39Z
,,2021-02-05T18:57:31Z
,,2021-01-26T21:57:29Z
,"{'total': 1, 'user_ids': [655067]}",2021-01-22T16:18:30Z
,"{'total': 5, 'user_ids': [3830809, 4694311, 2069864, 4829452, 4884332]}",2021-02-25T01:29:59Z
,,2021-02-26T16:52:24Z
,,2021-01-27T14:42:11Z
,"{'total': 5, 'user_ids': [3933156, 3499922, 1413479, 3690172, 3285923]}",2021-01-27T13:33:18Z
,,2021-02-03T15:01:56Z
"{'reshared_count': 1, 'user_ids': [4713974]}","{'total': 4, 'user_ids': [4010918, 4573267, 3058947, 4610058]}",2021-01-27T11:23:47Z
,"{'total': 2, 'user_ids': [4427735, 4512527]}",2021-01-27T10:49:44Z
"{'reshared_count': 1, 'user_ids': [145857]}","{'total': 2, 'user_ids': [4438901, 556895]}",2021-01-27T12:13:35Z
,"{'total': 8, 'user_ids': [2198857, 3628263, 3104517, 3221699, 4349594, 4801275, 4147486, 4832859]}",2021-02-02T05:42:34Z
,"{'total': 6, 'user_ids': [3217285, 1032008, 45472, 540564, 4619424, 4409413]}",2021-01-25T08:45:50Z
